Frequency, Hz	Amplitude, dBm
1.420766667E+9	-8.334921000E+1
1.420770000E+9	-8.320013000E+1
1.420773333E+9	-8.325048000E+1
1.420776667E+9	-8.320009000E+1
1.420780000E+9	-8.318503000E+1
1.420783333E+9	-8.331447000E+1
1.420786667E+9	-8.318502000E+1
1.420790000E+9	-8.311855000E+1
1.420793333E+9	-8.289770000E+1
1.420796667E+9	-8.283694000E+1
1.420800000E+9	-8.316031000E+1
1.420803333E+9	-8.299284000E+1
1.420806667E+9	-8.320258000E+1
1.420810000E+9	-8.318584000E+1
1.420813333E+9	-8.314220000E+1
1.420816667E+9	-8.334192000E+1
1.420820000E+9	-8.323248000E+1
1.420823333E+9	-8.318466000E+1
1.420826667E+9	-8.331717000E+1
1.420830000E+9	-8.315137000E+1
1.420833333E+9	-8.315791000E+1
1.420836667E+9	-8.330149000E+1
1.420840000E+9	-8.320974000E+1
1.420843333E+9	-8.313343000E+1
1.420846667E+9	-8.311617000E+1
1.420850000E+9	-8.319996000E+1
1.420853333E+9	-8.328088000E+1
1.420856667E+9	-8.326353000E+1
1.420860000E+9	-8.315482000E+1
1.420863333E+9	-8.316425000E+1
1.420866667E+9	-8.325134000E+1
1.420870000E+9	-8.302501000E+1
1.420873333E+9	-8.315745000E+1
1.420876667E+9	-8.324722000E+1
1.420880000E+9	-8.325507000E+1
1.420883333E+9	-8.131723000E+1
1.420886667E+9	-8.154475000E+1
1.420890000E+9	-8.311395000E+1
1.420893333E+9	-8.324390000E+1
1.420896667E+9	-8.281607000E+1
1.420900000E+9	-8.230857000E+1
1.420903333E+9	-8.312247000E+1
1.420906667E+9	-8.279569000E+1
1.420910000E+9	-8.275449000E+1
1.420913333E+9	-8.306686000E+1
1.420916667E+9	-8.275638000E+1
1.420920000E+9	-8.210215000E+1
1.420923333E+9	-8.317113000E+1
1.420926667E+9	-8.306928000E+1
1.420930000E+9	-8.282129000E+1
1.420933333E+9	-8.313842000E+1
1.420936667E+9	-8.316557000E+1
1.420940000E+9	-8.308131000E+1
1.420943333E+9	-8.282645000E+1
1.420946667E+9	-8.290316000E+1
1.420950000E+9	-8.321119000E+1
1.420953333E+9	-8.314796000E+1
1.420956667E+9	-8.328703000E+1
1.420960000E+9	-8.315828000E+1
1.420963333E+9	-8.316602000E+1
1.420966667E+9	-8.316459000E+1
1.420970000E+9	-8.329996000E+1
1.420973333E+9	-8.327829000E+1
1.420976667E+9	-8.323507000E+1
1.420980000E+9	-8.315852000E+1
1.420983333E+9	-8.303573000E+1
1.420986667E+9	-8.316274000E+1
1.420990000E+9	-8.299804000E+1
1.420993333E+9	-8.303558000E+1
1.420996667E+9	-8.326925000E+1
1.421000000E+9	-8.308975000E+1
1.421003333E+9	-8.317127000E+1
1.421006667E+9	-8.326542000E+1
1.421010000E+9	-8.314761000E+1
1.421013333E+9	-8.324142000E+1
1.421016667E+9	-8.322401000E+1
1.421020000E+9	-8.306097000E+1
1.421023333E+9	-8.321447000E+1
1.421026667E+9	-8.315398000E+1
1.421030000E+9	-8.317156000E+1
1.421033333E+9	-8.332961000E+1
1.421036667E+9	-8.325010000E+1
1.421040000E+9	-8.316835000E+1
1.421043333E+9	-8.315020000E+1
1.421046667E+9	-8.316711000E+1
1.421050000E+9	-8.320146000E+1
1.421053333E+9	-8.322824000E+1
1.421056667E+9	-8.294451000E+1
1.421060000E+9	-8.321967000E+1
1.421063333E+9	-8.315823000E+1
1.421066667E+9	-8.325441000E+1
1.421070000E+9	-8.330177000E+1
1.421073333E+9	-8.313879000E+1
1.421076667E+9	-8.314878000E+1
1.421080000E+9	-8.320341000E+1
1.421083333E+9	-8.324034000E+1
1.421086667E+9	-8.318361000E+1
1.421090000E+9	-8.313009000E+1
1.421093333E+9	-8.273277000E+1
1.421096667E+9	-8.288847000E+1
1.421100000E+9	-8.310040000E+1
1.421103333E+9	-8.320095000E+1
1.421106667E+9	-8.311926000E+1
1.421110000E+9	-8.325806000E+1
1.421113333E+9	-8.306425000E+1
1.421116667E+9	-8.305608000E+1
1.421120000E+9	-8.325747000E+1
1.421123333E+9	-8.298621000E+1
1.421126667E+9	-8.322805000E+1
1.421130000E+9	-8.312441000E+1
1.421133333E+9	-8.310487000E+1
1.421136667E+9	-8.316570000E+1
1.421140000E+9	-8.307367000E+1
1.421143333E+9	-8.326814000E+1
1.421146667E+9	-8.322761000E+1
1.421150000E+9	-8.317718000E+1
